Category: All categories

Week,wine: (Worldwide)
2012-05-20,57
2012-05-27,58
2012-06-03,57
2012-06-10,57
2012-06-17,58
2012-06-24,57
2012-07-01,58
2012-07-08,59
2012-07-15,59
2012-07-22,60
2012-07-29,58
2012-08-05,58
2012-08-12,60
2012-08-19,61
2012-08-26,59
2012-09-02,62
2012-09-09,62
2012-09-16,61
2012-09-23,61
2012-09-30,60
2012-10-07,61
2012-10-14,60
2012-10-21,58
2012-10-28,58
2012-11-04,60
2012-11-11,64
2012-11-18,70
2012-11-25,68
2012-12-02,73
2012-12-09,77
2012-12-16,83
2012-12-23,82
2012-12-30,70
2013-01-06,59
2013-01-13,58
2013-01-20,60
2013-01-27,59
2013-02-03,59
2013-02-10,63
2013-02-17,60
2013-02-24,57
2013-03-03,58
2013-03-10,56
2013-03-17,57
2013-03-24,58
2013-03-31,56
2013-04-07,56
2013-04-14,57
2013-04-21,58
2013-04-28,58
2013-05-05,56
2013-05-12,57
2013-05-19,55
2013-05-26,56
2013-06-02,57
2013-06-09,57
2013-06-16,56
2013-06-23,56
2013-06-30,56
2013-07-07,58
2013-07-14,58
2013-07-21,58
2013-07-28,59
2013-08-04,61
2013-08-11,60
2013-08-18,60
2013-08-25,58
2013-09-01,60
2013-09-08,58
2013-09-15,60
2013-09-22,59
2013-09-29,58
2013-10-06,59
2013-10-13,61
2013-10-20,59
2013-10-27,60
2013-11-03,64
2013-11-10,64
2013-11-17,67
2013-11-24,74
2013-12-01,68
2013-12-08,74
2013-12-15,83
2013-12-22,86
2013-12-29,72
2014-01-05,59
2014-01-12,60
2014-01-19,59
2014-01-26,59
2014-02-02,57
2014-02-09,63
2014-02-16,61
2014-02-23,59
2014-03-02,58
2014-03-09,57
2014-03-16,55
2014-03-23,58
2014-03-30,57
2014-04-06,57
2014-04-13,61
2014-04-20,59
2014-04-27,59
2014-05-04,60
2014-05-11,57
2014-05-18,57
2014-05-25,57
2014-06-01,56
2014-06-08,55
2014-06-15,56
2014-06-22,56
2014-06-29,56
2014-07-06,59
2014-07-13,58
2014-07-20,60
2014-07-27,61
2014-08-03,60
2014-08-10,57
2014-08-17,59
2014-08-24,59
2014-08-31,58
2014-09-07,58
2014-09-14,61
2014-09-21,59
2014-09-28,59
2014-10-05,58
2014-10-12,59
2014-10-19,59
2014-10-26,58
2014-11-02,62
2014-11-09,64
2014-11-16,66
2014-11-23,72
2014-11-30,68
2014-12-07,74
2014-12-14,81
2014-12-21,91
2014-12-28,76
2015-01-04,59
2015-01-11,60
2015-01-18,59
2015-01-25,58
2015-02-01,57
2015-02-08,64
2015-02-15,63
2015-02-22,58
2015-03-01,59
2015-03-08,57
2015-03-15,58
2015-03-22,59
2015-03-29,60
2015-04-05,58
2015-04-12,56
2015-04-19,57
2015-04-26,58
2015-05-03,56
2015-05-10,59
2015-05-17,58
2015-05-24,58
2015-05-31,60
2015-06-07,57
2015-06-14,57
2015-06-21,56
2015-06-28,58
2015-07-05,58
2015-07-12,60
2015-07-19,59
2015-07-26,61
2015-08-02,61
2015-08-09,61
2015-08-16,60
2015-08-23,61
2015-08-30,60
2015-09-06,62
2015-09-13,62
2015-09-20,61
2015-09-27,60
2015-10-04,62
2015-10-11,62
2015-10-18,60
2015-10-25,62
2015-11-01,64
2015-11-08,66
2015-11-15,70
2015-11-22,77
2015-11-29,71
2015-12-06,77
2015-12-13,86
2015-12-20,99
2015-12-27,82
2016-01-03,65
2016-01-10,62
2016-01-17,63
2016-01-24,62
2016-01-31,62
2016-02-07,63
2016-02-14,69
2016-02-21,61
2016-02-28,59
2016-03-06,60
2016-03-13,58
2016-03-20,62
2016-03-27,61
2016-04-03,61
2016-04-10,61
2016-04-17,62
2016-04-24,62
2016-05-01,62
2016-05-08,62
2016-05-15,63
2016-05-22,67
2016-05-29,70
2016-06-05,66
2016-06-12,65
2016-06-19,62
2016-06-26,62
2016-07-03,64
2016-07-10,63
2016-07-17,62
2016-07-24,64
2016-07-31,63
2016-08-07,61
2016-08-14,62
2016-08-21,63
2016-08-28,64
2016-09-04,65
2016-09-11,65
2016-09-18,64
2016-09-25,65
2016-10-02,61
2016-10-09,62
2016-10-16,65
2016-10-23,64
2016-10-30,63
2016-11-06,62
2016-11-13,68
2016-11-20,80
2016-11-27,72
2016-12-04,77
2016-12-11,83
2016-12-18,100
2016-12-25,84
2017-01-01,69
2017-01-08,63
2017-01-15,63
2017-01-22,61
2017-01-29,62
2017-02-05,62
2017-02-12,67
2017-02-19,63
2017-02-26,63
2017-03-05,60
2017-03-12,60
2017-03-19,59
2017-03-26,61
2017-04-02,60
2017-04-09,64
2017-04-16,60
2017-04-23,61
2017-04-30,62
2017-05-07,62
2017-05-14,71
